1,David Moull,38.27,37.49
2,Shanna Reid,35.16,DNS
3,Devesh Varma,34.78,34.74
4,Dave Graff,35.79,34.61
5,JD Etter,36.12,34.7
6,Talia Laurie,41.65,DNS
7,Mark Sandell,,DNS
8,Jennifer Hsiung,35.54,35.82
9,Raymond Hu,32.77,32.55
10,Rachel Megitt,30.48,31.26
11,Richard Sawicki,35.03,34.55
12,Antonio Liberatore,37.13,36.23
13,Alex Henry,39.23,DNS
14,Dara Moncarz,30.97,34.69
15,Mark Swalwell,35.11,33.41
16,Jay MacDonald,27.2,DNS
17,Bernard Oegema,35.22,DNS
18,Stephen Lewis,30.51,30.12
19,Audun Breder,30.39,29.97
20,Ron Herczeg,32.78,33.51
21,Catherine Capek,35.38,35.26
22,Ryan Wood,,DNS
23,Michael Godfrey,31.42,31.12
24,Jocelyn French,31.72,32.74
25,Eric Rosen,32.81,33.42
26,Chris Reid,28.39,28.38
27,Tony Petrella,32.3,33.7
28,Lisa Bugler,31.92,31.58
29,Kevin Brown,33.83,33.8
30,Sarah Robertson,34.37,34.56
31,Tushar Mehta,30.12,29.94
32,Sheri Ramshaw,31.91,31.58
33,Bengie Maxwell,30.1,30.14
34,John Glover,29.39,28.83
35,Gil Nayot,29.7,29.65
36,Mitch Perreault,29.83,30.88
37,David Rosenblatt,29.64,30.17
38,David Eva,29.29,30.43
39,Earl Duffy,30.36,29.93
40,Joseph Lo,30.11,30.85
41,Justin Trevan,29.5,29.5
42,Laura Libby,29.86,29.31
43,Adam Grossman,28.43,29.44
44,Parker Brown,27.03,27.14
45,Josh Erlick,28.26,28.78
46,Craig Pitman,28.91,DNF
47,Corbin Seligman,28.7,29.66
48,Mackenzie Balan,28.34,28.67
49,Rebecca Henry,30.43,31.15
50,Shane Hambly,27.52,DNS
51,Rob Reid,28.27,28.65
52,Robert Hawtin,27.5,28
53,Kevin Beattie,29.48,29.04
54,Don French,28.41,28.87
55,Joanna Perreault,27.97,DNF
56,Alana Cox,29,DNF
57,Todd Robertson,28.86,28.76
58,Peter Moorhead,26.73,DNF
59,Robert Smejkal,,DNS
60,Jeff Parr,26.58,26.67
61,Alexandra Kansun,27.47,27.1
62,Sean Cotnam,27.14,27.13
63,Mark Laurie,27.05,27.36
64,Tyler Pridham,27.68,DNS
65,Brook Hamilton,27.24,30.1
66,Tori Johnston,27.88,27.87
67,Brad Brock,27.63,28.48
68,David Garber,27.5,27.6
69,Stephanie Coward,25.96,26.14
70,Kenneth Stoneham,27.75,27.79
71,Jamie Haggart,27.63,27.67
72,Shane Henry,26.58,27
73,Laura Coward,26.63,27.05
74,William Cartar,25.74,25.49
75,Jeremy Ramshaw,26.12,25.88
76,Emma Williamson,25.5,26.05
77,Mike Parr,25.46,25.54
78,Jeff Cox,24.95,25.47
79,hunter king,26.21,26.49
80,Thomas Daly,,DNS
81,Jeffrey Solomon,,DNS
82,Graham Ramshaw,25.81,25.81
83,Nicholas Balan,DNF,26.29
84,Mclean Wood,25.36,DNS
85,Rob Kansun,25.58,25.61
86,Andrew Moscoe,26.46,26.94
87,Michael McTaggart,,DNS
88,Brandon Hune,25.92,25.97
89,Will Stewart,26.2,26.81
101,Terence Woodside,33.63,DNS
102,Joel Farber,36.3,36.92
103,Kyla Taylor,40.24,DNS
104,Jacob Max Farber,28.28,28.43
105,Steve Crawford,36.89,37.21
107,Mark Sandell,,DNS
117,Bernard Oegema,35.45,DNS
132,Sheri Ramshaw,40.13,40.37
180,Thomas Daly,,DNS
182,Graham Ramshaw,33.75,36.11
189,Will Stewart,37.45,34.69
