1,David Moull,36.55,36.97
2,Shanna Reid,34.78,DNS
3,Devesh Varma,33.27,33.62
4,Dave Graff,34.6,33.34
5,JD Etter,36.42,35.44
6,Talia Laurie,39.28,DNS
7,Mark Sandell,32.14,DNS
8,Jennifer Hsiung,,DNS
9,Raymond Hu,34.02,33.08
10,Rachel Megitt,30.03,29.64
11,Richard Sawicki,33.81,32.36
12,Antonio Liberatore,34.86,33.77
13,Alex Henry,37.87,DNS
14,Dara Moncarz,32.25,30.62
15,Mark Swalwell,32.13,33.05
16,Jay MacDonald,24.79,24.66
17,Bernard Oegema,33.33,DNS
18,Stephen Lewis,29.49,29.76
19,Audun Breder,,DNS
20,Ron Herczeg,,DNS
21,Catherine Capek,33.32,DNS
22,Ryan Wood,,DNS
23,Michael Godfrey,32.18,DNS
24,Jocelyn French,30.6,30.4
25,Eric Rosen,32.34,31.91
26,Chris Reid,,DNS
27,Tony Petrella,31.71,33.8
28,Lisa Bugler,,DNS
29,Kevin Brown,33,DNS
30,Sarah Robertson,33.2,33.05
31,Tushar Mehta,29.91,29.24
32,Sheri Ramshaw,30.42,30.35
33,Bengie Maxwell,DNF,28.45
34,John Glover,,DNS
35,Gil Nayot,28.4,29.1
36,Mitch Perreault,29.47,29.46
37,David Rosenblatt,28.42,28.36
38,David Eva,29.73,29.28
39,Earl Duffy,29.76,28.7
40,Joseph Lo,29.74,DNS
41,Justin Trevan,27.7,27.43
42,Laura Libby,28.17,DNS
43,Adam Grossman,,DNS
44,Parker Brown,25.86,25.12
45,Josh Erlick,27.37,27.74
46,Craig Pitman,28.35,28.42
47,Corbin Seligman,28.44,27.72
48,Mackenzie Balan,28.03,27.88
49,Rebecca Henry,29.66,DNS
50,Shane Hambly,26.7,26.57
51,Rob Reid,27.27,26.95
52,Robert Hawtin,26.32,26.05
53,Kevin Beattie,27.24,27.33
54,Don French,26.48,26.68
55,Joanna Perreault,27.43,26.46
56,Alana Cox,26.86,26.91
57,Todd Robertson,27.44,28.45
58,Peter Moorhead,25.6,25.41
59,Robert Smejkal,25.8,25.67
60,Jeff Parr,,DNS
61,Alexandra Kansun,26.6,26.47
62,Sean Cotnam,25.63,25.42
63,Mark Laurie,26.28,26.52
64,Tyler Pridham,25.06,24.58
65,Brook Hamilton,26.06,26.2
66,Tori Johnston,25.99,25.79
67,Brad Brock,26.77,27.33
68,David Garber,,DNS
69,Stephanie Coward,24.86,24.8
70,Kenneth Stoneham,,DNS
71,Jamie Haggart,26.36,26.25
72,Shane Henry,25.64,25.46
73,Laura Coward,25.21,25.38
74,William Cartar,24.54,24.74
75,Jeremy Ramshaw,24.84,24.72
76,Emma Williamson,,DNS
77,Mike Parr,,DNS
78,Jeff Cox,24.53,24.42
79,hunter king,24.38,24.15
80,Thomas Daly,,DNS
81,Jeffrey Solomon,24.26,24.56
82,Graham Ramshaw,,DNS
83,Nicholas Balan,23.72,24.42
84,Mclean Wood,23.84,DNS
85,Rob Kansun,24.26,23.93
86,Andrew Moscoe,,DNS
87,Michael McTaggart,,DNS
88,Brandon Hune,24.41,24.34
89,Will Stewart,DNF,25.18
90,Corey Hawtin,,DNS
101,Terence Woodside,35.16,35.29
102,Joel Farber,36.37,35.52
103,Kyla Taylor,41.95,41.19
104,Jacob Max Farber,,DNS
105,Steve Crawford,39.76,37.84
107,Mark Sandell,36.77,35.64
117,Bernard Oegema,35.79,DNS
132,Sheri Ramshaw,,DNS
180,Thomas Daly,,DNS
182,Graham Ramshaw,,DNS
189,Will Stewart,37.56,36.61
